0.000000	50.000000	Silence
50.000000	60.000000	Unhealthy
60.000000	64.000000	Silence
64.000000	72.000000	Unhealthy
72.000000	76.000000	Silence
76.000000	140.000000	Unhealthy
140.000000	142.000000	Silence
142.000000	160.000000	Unhealthy
160.000000	190.000000	Silence
190.000000	200.000000	Healthy
200.000000	206.000000	Silence
206.000000	216.000000	Healthy
216.000000	222.000000	Silence
222.000000	268.000000	Healthy
268.000000	270.000000	Silence
270.000000	324.000000	Healthy
324.000000	332.000000	Silence
332.000000	336.000000	Healthy
336.000000	420.000000	Silence
