0.000000	49.800000	Silence
49.800000	50.100000	Healthy
50.100000	50.200000	Unhealthy
50.200000	50.300000	Healthy
50.300000	60.300000	Unhealthy
60.300000	60.700000	Healthy
60.700000	63.800000	Silence
63.800000	64.300000	Healthy
64.300000	71.900000	Unhealthy
71.900000	72.400000	Healthy
72.400000	76.100000	Silence
76.100000	76.500000	Healthy
76.500000	113.500000	Unhealthy
113.500000	113.600000	Silence
113.600000	122.200000	Unhealthy
122.200000	122.900000	Silence
122.900000	123.000000	Unhealthy
123.000000	123.200000	Silence
123.200000	130.900000	Unhealthy
130.900000	131.000000	Silence
131.000000	131.100000	Unhealthy
131.100000	131.300000	Silence
131.300000	135.700000	Unhealthy
135.700000	137.100000	Silence
137.100000	140.900000	Unhealthy
140.900000	143.000000	Silence
143.000000	150.800000	Unhealthy
150.800000	151.600000	Silence
151.600000	152.000000	Unhealthy
152.000000	152.100000	Silence
152.100000	159.100000	Unhealthy
159.100000	189.600000	Silence
189.600000	200.100000	Healthy
200.100000	206.900000	Silence
206.900000	215.800000	Healthy
215.800000	221.700000	Silence
221.700000	267.600000	Healthy
267.600000	267.700000	Unhealthy
267.700000	269.300000	Silence
269.300000	303.400000	Healthy
303.400000	303.900000	Silence
303.900000	304.000000	Healthy
304.000000	304.700000	Silence
304.700000	307.000000	Healthy
307.000000	307.600000	Silence
307.600000	310.300000	Healthy
310.300000	311.100000	Silence
311.100000	319.400000	Healthy
319.400000	319.800000	Silence
319.800000	320.600000	Healthy
320.600000	321.100000	Silence
321.100000	324.300000	Healthy
324.300000	325.800000	Silence
325.800000	325.900000	Healthy
325.900000	332.900000	Silence
332.900000	333.100000	Healthy
333.100000	333.400000	Silence
333.400000	336.600000	Healthy
336.600000	336.700000	Silence
336.700000	336.900000	Healthy
336.900000	420.400000	Silence
