0.000000	50.000000	Noise
50.000000	60.000000	Damaged
60.000000	61.000000	Healthy
61.000000	64.000000	Noise
64.000000	73.000000	Damaged
73.000000	76.000000	Noise
76.000000	160.000000	Damaged
160.000000	190.000000	Noise
190.000000	200.000000	Healthy
200.000000	207.000000	Noise
207.000000	216.000000	Healthy
216.000000	222.000000	Noise
222.000000	325.000000	Healthy
325.000000	326.000000	Damaged
326.000000	330.000000	Healthy
330.000000	332.000000	Noise
332.000000	333.000000	Healthy
333.000000	334.000000	Damaged
334.000000	337.000000	Healthy
337.000000	370.000000	Noise
370.000000	372.000000	Healthy
372.000000	420.000000	Noise
